id;id_empresa;nome;sexo;porte;idade;data_nascimento;castrado;anotacao;pedigree;ativo
1;8725;Wyoming wireless;Innovative;User-centric Steel;55801;2021-09-09;false;system Unbranded;true;true
2;85154;Home;Avon copying;Fish THX;71610;2021-09-09;true;Square;false;true
3;37829;Sleek world-class;Tactics Chicken;Principal olive plug-and-play;50516;2021-09-08;true;revolutionary;false;false
4;47462;Games Savings;generating redundant;content Account wireless;13986;2021-09-09;false;withdrawal dynamic;false;true
5;41748;Unbranded model;Cotton;Lari Salad Central;51018;2021-09-08;true;Wooden payment;true;false
6;68242;engage matrix bandwidth;bluetooth Money;Isle Plastic;44281;2021-09-09;false;Automotive technologies National;true;true
7;61845;embrace state microchip;Loan;Frozen;13390;2021-09-09;true;Shoes software;false;false
8;66482;e-business;Facilitator Shirt Accountability;International convergence;75860;2021-09-08;false;Circle navigating;false;true
9;25087;Solutions Cotton indexing;Personal back-end;District Branch Arkansas;39429;2021-09-09;false;Arizona channels;false;false
10;16790;maroon;Squares multi-byte;Massachusetts projection New;17424;2021-09-08;true;morph Handmade;true;true
