id;data_sistema;data_venda;data_aviso;anotacao;status
1;2021-09-10;2021-09-10;2021-09-10;Louisiana generate Advanced;true
2;2021-09-10;2021-09-09;2021-09-09;navigating Tuna payment;false
3;2021-09-09;2021-09-10;2021-09-09;BCEAO architectures e-commerce;false
4;2021-09-10;2021-09-10;2021-09-09;Metal Licensed;true
5;2021-09-10;2021-09-10;2021-09-10;Ergonomic client-server deliver;true
6;2021-09-09;2021-09-09;2021-09-10;asynchronous;true
7;2021-09-09;2021-09-09;2021-09-09;Computer Account Gloves;true
8;2021-09-09;2021-09-10;2021-09-09;contextually-based;false
9;2021-09-09;2021-09-10;2021-09-09;bypass;true
10;2021-09-10;2021-09-09;2021-09-09;Legacy Rubber sensor;false
