id;data_adimissao;data_saida;carga_horaria;primeiro_horario;segundo_horario;salario;comissao;desconto_maximo
1;2021-09-09;2021-09-10;22639;2021-09-10T02:11:35;2021-09-10T11:42:15;52202;34588;53025
2;2021-09-09;2021-09-09;36099;2021-09-09T22:26:37;2021-09-10T02:59:03;49695;12223;34306
3;2021-09-10;2021-09-09;49087;2021-09-09T19:50:00;2021-09-09T17:31:38;84828;72391;85550
4;2021-09-10;2021-09-09;79045;2021-09-10T10:20:51;2021-09-09T17:16:31;25217;46666;36960
5;2021-09-10;2021-09-10;28542;2021-09-10T07:03:15;2021-09-10T02:11:23;51803;67608;92953
6;2021-09-09;2021-09-09;48418;2021-09-10T00:01:40;2021-09-10T08:35:10;61500;58896;69649
7;2021-09-09;2021-09-10;67570;2021-09-10T12:56:27;2021-09-10T10:02:13;34330;14367;52680
8;2021-09-10;2021-09-10;81840;2021-09-09T20:22:59;2021-09-10T09:05:08;55334;22649;9492
9;2021-09-10;2021-09-09;28286;2021-09-09T14:42:21;2021-09-10T13:33:14;1359;54318;47623
10;2021-09-10;2021-09-09;26747;2021-09-10T01:56:14;2021-09-09T18:42:36;26180;64505;58894
